# Generated by G. Mace on Thu Feb  9 16:34:12 2017
# Uncertainty is the standard deviation of all epochs.
#======================================================
# Wavelength         Norm. Flux          Uncertainty   
#  (microns)          (counts)            (counts)     
#======================================================
       1.8918455       1.0915499      0.50906093
       1.8918524       1.1756986      0.62789138
       1.8918592       1.2677027      0.74387224
       1.8918661       1.3377616      0.81353810
       1.8918729       1.4023758      0.82806251
       1.8918798       1.4607201      0.79734566
       1.8918866       1.5119692      0.73486047
       1.8918935       1.5060103      0.67354675
       1.8919003       1.4047820      0.64873605
       1.8919072       1.2169460      0.66784708
       1.8919140       1.0078461      0.69629702
       1.8919209      0.86917907      0.68533670
       1.8919277      0.79020411      0.64265733
       1.8919346      0.62507544      0.62074110
       1.8919414      0.36959952      0.65897291
       1.8919483     0.062770291      0.75047146
       1.8919551     -0.13213053      0.85647384
       1.8920167      0.91057571      0.75130845
       1.8920235       1.1338268      0.52874114
       1.8920304       1.2877158      0.36517938
       1.8920372       1.3659553      0.30004739
       1.8920440       1.3507023      0.45349006
       1.8920509       1.2732489      0.64633657
       1.8920577       1.1679749      0.82650629
       1.8920646       1.0590793      0.84103037
       1.8920714      0.97606801      0.74104779
       1.8920782      0.89465856      0.56349849
       1.8920851      0.73302625      0.40174004
       1.8920919      0.49036630      0.33490667
       1.8920988      0.23690521      0.37673805
       1.8921056     0.060724033      0.48601102
       1.8921124   -0.0013840497      0.61045085
       1.8921193     0.034392015      0.73019696
       1.8921261      0.21456139      0.84754594
       1.8921739      0.56288338      0.74865320
       1.8921808      0.50373642      0.58034370
       1.8921876      0.66327115      0.56725491
       1.8921944       1.0797978      0.69472046
       1.8922013       1.3545448      0.87228362
       1.8922217       1.0711337      0.86972080
       1.8922286      0.96554065      0.75813696
       1.8922354      0.92583217      0.67552543
       1.8922422      0.87516878      0.61502555
       1.8922491      0.77361386      0.55346235
       1.8922559      0.67753005      0.48762423
       1.8922627      0.64130007      0.45056351
       1.8922695      0.62189674      0.47680861
       1.8922764      0.56615828      0.58056413
       1.8922832      0.50090314      0.74179295
       1.8923856      0.73719722      0.80060464
       1.8923924      0.64082859      0.52537089
       1.8923992      0.57720488      0.44252361
       1.8924060      0.64631483      0.49778724
       1.8924128      0.74968934      0.52587089
       1.8924197      0.85212917      0.47236124
       1.8924265      0.95257275      0.39677790
       1.8924333       1.0499585      0.38150327
       1.8924401       1.1432250      0.48985143
       1.8924469       1.2313105      0.70986847
       1.8924742       1.5106128      0.86809535
       1.8924810       1.5643538      0.65528720
       1.8924878       1.6551126      0.48871457
       1.8924946       1.7481835      0.37229318
       1.8925014       1.7856675      0.26114943
       1.8925083       1.7193537      0.17688962
       1.8925151       1.6186096      0.18980405
       1.8925219       1.5365495      0.30578767
       1.8925287       1.4766282      0.44253328
       1.8925355       1.4003603      0.41545340
       1.8925423       1.3295163      0.33674562
       1.8925491       1.2584650      0.29929746
       1.8925559       1.1787528      0.33060657
       1.8925628       1.0680275      0.27909638
       1.8925696      0.90227051      0.22393628
       1.8925764      0.74088716      0.24621397
       1.8925832      0.58456815      0.37998588
       1.8925900      0.46993129      0.46378610
       1.8925968      0.35257281      0.47690440
       1.8926036      0.22431624      0.43240869
       1.8926104     0.082352166      0.35772120
       1.8926172    -0.067037741      0.27731226
       1.8926240     -0.20522345      0.19173667
       1.8926308     -0.30972269      0.14595169
       1.8926377     -0.40091820      0.17089872
       1.8926445     -0.46165271      0.26647228
       1.8926513     -0.49626557      0.39667764
       1.8926581     -0.47367414      0.53525333
       1.8926649     -0.40245383      0.67675208
       1.8926717     -0.27725470      0.82081573
       1.8928892      -1.1836533      0.85193034
       1.8928960      -1.3233573      0.72572498
       1.8929028      -1.3712989      0.61732161
       1.8929096      -1.3007535      0.52095998
       1.8929164      -1.1648695      0.42775149
       1.8929232     -0.95036582      0.33270051
       1.8929300     -0.73102610      0.26183554
       1.8929368     -0.45827002      0.28768628
       1.8929435     -0.12868734      0.43129273
       1.8929503      0.24168998      0.63886129
       1.8929571      0.59546496      0.78998570
       1.8929639      0.89659545      0.83101813
       1.8929707       1.1880256      0.78695759
       1.8929775       1.4734912      0.72846525
       1.8929843       1.7123921      0.72168612
       1.8929911       1.8553395      0.78703448
       1.8929978       1.8134452      0.87653210
       1.8930182       1.6649389      0.85801537
       1.8930250       1.8765757      0.74554703
       1.8930318       2.0838478      0.60903106
       1.8930386       2.2617744      0.49526623
       1.8930453       2.3678347      0.44595089
       1.8930521       2.3189144      0.48111454
       1.8930589       2.0730233      0.56892258
       1.8930657       1.6729114      0.64912500
       1.8930725       1.2669118      0.65419283
       1.8930792      0.97082524      0.53986896
       1.8930860      0.83416521      0.38711346
       1.8930928      0.84321163      0.33940194
       1.8930996       1.0793080      0.41397326
       1.8931064       1.3906546      0.52044296
       1.8931131       1.7105896      0.53056721
       1.8931199       1.8833378      0.45187791
       1.8931267       1.9756299      0.31397454
       1.8931335       2.0026588      0.21129337
       1.8931403       2.0168344      0.21136036
       1.8931470       2.0090832      0.31812248
       1.8931538       1.9785335      0.44593510
       1.8931606       1.8825027      0.52773606
       1.8931674       1.7594637      0.56112907
       1.8931741       1.6142800      0.57194528
       1.8931809       1.4518152      0.58617637
       1.8931877       1.3382854      0.61498247
       1.8931945       1.2945173      0.66199207
       1.8932012       1.2970238      0.72502158
       1.8932080       1.2805013      0.79742389
       1.8932148       1.2243446      0.87108817
       1.8933434       1.5849986      0.86717147
       1.8933502       1.6606613      0.80868374
       1.8933570       1.6817239      0.74454903
       1.8933637       1.6319058      0.69811056
       1.8933705       1.5117423      0.67876878
       1.8933772       1.3551486      0.68596010
       1.8933840       1.1834303      0.69690011
       1.8933908       1.0087049      0.69766115
       1.8933975      0.94814952      0.66513339
       1.8934043       1.1279764      0.61747081
       1.8934111       1.4301492      0.59480501
       1.8934178       1.6608918      0.61390743
       1.8934246       1.6732889      0.64940742
       1.8934313       1.5113690      0.67012613
       1.8934381       1.2395508      0.67935275
       1.8934449      0.90892266      0.68783230
       1.8934516      0.80372392      0.68398198
       1.8934584      0.96406533      0.66603492
       1.8934651       1.2193871      0.63709790
       1.8934719       1.3233071      0.58933893
       1.8934787       1.2021415      0.51450851
       1.8934854      0.95827918      0.44902923
       1.8934922      0.79541697      0.45122519
       1.8934989      0.83826784      0.53388255
       1.8935057       1.0233762      0.63425554
       1.8935124       1.1720608      0.65845647
       1.8935192       1.2081729      0.55886239
       1.8935260       1.1740309      0.38581075
       1.8935327       1.2019943      0.30030806
       1.8935395       1.2314510      0.37223650
       1.8935462       1.3337731      0.56184206
       1.8935530       1.3771429      0.72912396
       1.8935597       1.4218412      0.79412239
       1.8935665       1.4566346      0.67274723
       1.8935732       1.5385273      0.44450546
       1.8935800       1.5744614      0.25334523
       1.8935867       1.6107529      0.33292821
       1.8935935       1.6008020      0.59736351
       1.8936002       1.6373823      0.89249092
       1.8936340       1.4067426      0.74764569
       1.8936407       1.3004577      0.59722852
       1.8936475       1.2768944      0.49590895
       1.8936542       1.4203428      0.47887374
       1.8936610       1.6153964      0.52605729
       1.8936677       1.6605691      0.59260170
       1.8936745       1.4075340      0.65466714
       1.8936812       1.0089953      0.73576208
       1.8936880      0.68817958      0.83972114
       1.8938161       1.8964127      0.72953761
       1.8938228       1.8584353      0.69147281
       1.8939036       1.5521262      0.81072235
       1.8939104       1.5299181      0.53954242
       1.8939171       1.6178791      0.40082239
       1.8939238       1.7423950      0.42155736
       1.8939306       1.9521978      0.52596360
